	parent	child
1523	root	K24838
1524	root	K04987
1525	root	K00665
1526	root	K13625
1527	root	K20634
1528	root	K16772
1529	root	K17336
1530	root	K11460
1531	root	K18443
1532	root	K18516
1533	root	K20578
1534	root	K06526
1535	root	K22309
1536	root	K24231
1537	root	K01723
1538	root	K18494
1539	root	K22969
1540	root	K03805
1541	root	K00007
1542	root	K21277
1543	root	K18405
1544	root	K14807
1545	root	K02975
1546	root	K19625
1547	root	K07376
1548	root	K07529
1549	root	K18379
1550	root	K14901
1551	root	K03176
1552	root	K04150
1553	root	K08667
1554	root	K20695
1555	root	K13404
1556	root	K15642
1557	root	K20231
1558	root	K18101
1559	root	K01625
1560	root	K24719
1561	root	K11077
1562	root	K08181
1563	root	K02824
1564	root	K16677
1565	root	K21381
1566	root	K00943
1567	root	K22787
1568	root	K17478
1569	root	K23989
1570	root	K19649
1571	root	K21618
1572	root	K13855
1573	root	K08358
1574	root	K19036
1575	root	K16758
1576	root	K21950
1577	root	K17099
1578	root	K23358
1579	root	K21610
1580	root	K24701
1581	root	K24714
1582	root	K08584
1583	root	K20079
1584	root	K01641
1585	root	K10574
1586	root	K10151
1587	root	K14255
1588	root	K00515
1589	root	K13670
1590	root	K12581
1591	root	K14246
1592	root	K18785
1593	root	K16789
1594	root	K19184
1595	root	K23060
1596	root	K12906
1597	root	K16956
1598	root	K01436
1599	root	K05584
1600	root	K21963
1601	root	K00794
1602	root	K01032
1603	root	K02857
1604	root	K23860
1605	root	K25968
1606	root	K00626
1607	root	K24327
1608	root	K09821
1609	root	K19894
1610	root	K13917
1611	root	K10830
1612	root	K08297
1613	root	K10201
1614	root	K06672
1615	root	K14068
1616	root	K09576
1617	root	K23949
1618	root	K26038
1619	root	K17308
1620	root	K10503
1621	root	K01310
1622	root	K06540
1623	root	K25795
1624	root	K15519
1625	root	K21933
1626	root	K04012
1627	root	K05023
1628	root	K20090
1629	root	K19200
1630	root	K03206
1631	root	K08069
1632	root	K07064
1633	root	K13846
1634	root	K23770
1635	root	K16713
1636	root	K04660
1637	root	K07324
1638	root	K25022
1639	root	K17558
1640	root	K10535
1641	root	K09382
1642	root	K09819
1643	root	K05457
1644	root	K21868
1645	root	K09364
1646	root	K05195
1647	root	K13953
1648	root	K21082
1649	root	K13362
1650	root	K12979
1651	root	K14613
1652	root	K20204
1653	root	K18882
1654	root	K15375
1655	root	K00825
1656	root	K17125
1657	root	K05600
1658	root	K24884
1659	root	K17905
1660	root	K01609
1661	root	K21205
1662	root	K24236
